Param,Value,data_type
country_name,Nepal,string
country_code,np,string
end_year,2021,int
start_year,2021,int
population_start_year,29164578,int
population_end_year,29164578,int
urban_start,0.21,float
urban_end,0.21,float
elec_rate,0.72,float
rural_elec_rate,0.67,float
urban_elec_rate,0.9,float
mort_copd,103.55,float
mort_ihd,78.06,float
mort_lc,6.04,float
mort_alri,28.8,float
morb_copd,2640.83,float
morb_ihd,2079.24,float
morb_lc,5.8,float
morb_alri,7890.53,float
rural_hh_size,4.3,float
urban_hh_size,4.7,float
meals_per_day,3,float
infra_weight,2,float
ntl_weight,1,float
pop_weight,1,float
mort_stroke,19.59,float
morb_stroke,482.54,float
fnrb,0.528,float
coi_alri,39,float
coi_copd,103,float
coi_ihd,45,float
coi_lc,2431,float
coi_stroke,3970,float
cost_of_carbon_emissions,51,float
discount_rate,0.03,float
health_spillovers_parameter,0.112,float
minimum_wage,126,float
vsl,134765.11,float
w_costs,1,float
w_environment,1,float
w_health,1,float
w_spillovers,1,float
w_time,1,float
